,MachineIdentifier,EngineVersion,AppVersion,AvSigVersion,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,CountryIdentifier,CityIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Processor,OsBuild,OsSuite,SmartScreen,Census_MDC2FormFactor,Census_OEMNameIdentifier,Census_ProcessorCoreCount,Census_ProcessorModelIdentifier,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSEdition,Census_OSInstallLanguageIdentifier,Census_GenuineStateName,Census_ActivationChannel,Census_FirmwareManufacturerIdentifier,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
0,0000028988387b115f69f31a3bf04f09,1.1.15100.1,4.18.1807.18075,1.273.1735.0,7,0,,53447,1,1,29,128035,35,171,x64,17134,256,,Desktop,2668,4,2341,476940,HDD,0,4096,Desktop,18.9,1440,900,Desktop,,4294967295,10.0.17134.165,Professional,26,IS_GENUINE,Retail,628,0,0,0,0,10,0
1,000007535c3f730efa9ea0b7ef1bd645,1.1.14600.4,4.13.17134.1,1.263.48.0,7,0,,53447,1,1,93,1482,119,64,x64,17134,256,,Notebook,2668,4,2405,476940,HDD,0,4096,Notebook,13.9,1366,768,Mobile,,1,10.0.17134.1,Professional,8,OFFLINE,Retail,628,0,0,0,0,8,0
2,000007905a28d863f6d0d597892cd692,1.1.15100.1,4.18.1807.18075,1.273.1341.0,7,0,,53447,1,1,86,153579,64,49,x64,17134,768,RequireAdmin,Desktop,4909,4,1972,114473,SSD,0,4096,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.165,Core,7,IS_GENUINE,OEM:NONSLP,142,0,0,0,0,3,0
3,00000b11598a75ea8ba1beea8459149f,1.1.15100.1,4.18.1807.18075,1.273.1527.0,7,0,,53447,1,1,88,20710,117,115,x64,17134,256,ExistsNotSet,Desktop,1443,4,2273,238475,UNKNOWN,0,4096,MiniTower,18.5,1366,768,Desktop,,4294967295,10.0.17134.228,Professional,17,IS_GENUINE,OEM:NONSLP,355,0,0,0,0,3,1
4,000014a5f00daa18e76b81417eeb99fc,1.1.15100.1,4.18.1807.18075,1.273.1379.0,7,0,,53447,1,1,18,37376,277,75,x64,17134,768,RequireAdmin,Notebook,1443,4,2500,476940,HDD,0,6144,Portable,14,1366,768,Mobile,lion,0,10.0.17134.191,Core,8,IS_GENUINE,Retail,355,0,0,0,0,1,1
5,000016191b897145d069102325cab760,1.1.15100.1,4.18.1807.18075,1.273.1094.0,7,0,,53447,1,1,97,13598,126,124,x64,17134,256,RequireAdmin,Desktop,3799,2,4324,114473,SSD,0,8192,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.165,Professional,18,IS_GENUINE,Retail,93,0,0,0,0,15,1
6,0000161e8abf8d8b89c5ab8787fd712b,1.1.15100.1,4.18.1807.18075,1.273.845.0,7,0,,43927,2,1,78,81215,89,88,x64,17134,768,,Notebook,3799,2,657,476940,HDD,0,4096,Notebook,17.2,1600,900,Mobile,,0,10.0.17134.165,Core,14,IS_GENUINE,Retail,556,0,0,0,0,10,1
7,000019515bc8f95851aff6de873405e8,1.1.15100.1,4.18.1807.18075,1.273.1393.0,7,0,,53447,1,1,97,150323,126,124,x64,14393,768,RequireAdmin,Notebook,5682,2,3381,305245,HDD,1,4096,Notebook,15.5,1366,768,Mobile,lion,0,10.0.14393.0,Core,18,IS_GENUINE,Retail,512,0,0,0,0,15,0
8,00001a027a0ab970c408182df8484fce,1.1.15200.1,4.18.1807.18075,1.275.988.0,7,0,,53447,1,1,164,155006,205,172,x64,17134,256,RequireAdmin,Notebook,2206,4,2836,305245,HDD,0,4096,Notebook,15.6,1920,1080,Mobile,lion,0,10.0.17134.254,Professional,27,IS_GENUINE,Retail,500,0,0,0,0,15,0
9,00001a18d69bb60bda9779408dcf02ac,1.1.15100.1,4.18.1807.18075,1.273.973.0,7,0,,46413,2,1,93,98572,119,64,x64,16299,768,RequireAdmin,Notebook,585,4,2373,953869,HDD,1,8192,Notebook,15.5,1366,768,Mobile,lion,0,10.0.16299.431,CoreSingleLanguage,8,IS_GENUINE,OEM:DM,556,0,0,0,1,8,1
10,00001b3b3cf8c8c079a272ce51031753,1.1.15100.1,4.18.1807.18075,1.273.869.0,7,0,,53447,1,1,107,133897,138,134,arm64,17134,256,,Detachable,4143,8,4425,121676,SSD,0,4096,Detachable,11.9,2160,1440,Slate,,18,10.0.17134.167,Core,8,IS_GENUINE,Retail,845,1,1,1,0,1,0
11,00001b924fcc6922321cfadbafd8a91a,1.1.15100.1,4.18.1807.18075,1.273.1826.0,7,0,,47238,2,1,164,120983,205,172,x64,17134,768,,Notebook,2668,2,2097,122104,SSD,0,4096,Notebook,13.9,1366,768,Mobile,,7,10.0.17134.228,Core,27,IS_GENUINE,OEM:DM,628,0,0,0,0,15,1
12,00001f26e9e5775277d6231fc6ac9e70,1.1.15100.1,4.18.1807.18075,1.273.1372.0,7,0,,36429,2,1,80,7198,101,107,x64,17134,256,,Desktop,2102,4,2407,476940,HDD,0,4096,Desktop,18.5,1366,768,Desktop,,4294967295,10.0.17134.191,Professional,6,IS_GENUINE,OEM:DM,486,0,0,0,1,3,0
13,000024872c81cf03fa862aa8f99e0984,1.1.15200.1,4.18.1807.18075,1.275.895.0,7,0,,53447,1,1,171,124736,211,182,x64,17134,256,RequireAdmin,Desktop,4589,2,3470,953869,HDD,0,8192,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.228,Professional,29,IS_GENUINE,OEM:NONSLP,142,0,0,0,0,3,0
14,0000258d2b847c7549150cfec6464473,1.1.15100.1,4.18.1807.18075,1.273.925.0,7,0,,7945,2,1,169,141516,209,74,x64,17134,768,Off,Notebook,525,8,3082,953869,HDD,0,8192,Notebook,15.5,1920,1080,Mobile,,33,10.0.17134.191,Core,7,IS_GENUINE,Retail,142,0,0,0,1,3,1
